player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
nitish-rana,2021,18,22,25,1,1,1,88.0,0,0,0,0,0,0,0,0,0,0,0
shubman-gill,2021,18,11,19,1,1,0,57.89,0,0,0,0,0,0,0,0,0,0,0
jaydev-unadkat,0,0,0,0,0,0,0,0,4.0,0,25,1,6.25,11,2,1,0,0,0
shivam-dube,2021,18,22,18,1,2,1,122.22,1.0,0,5,0,5.0,2,0,0,0,0,0
mustafizur-rahman,0,0,0,0,0,0,0,0,4.0,0,22,1,5.5,13,3,0,0,0,0
sanju-samson,2021,18,42,41,0,2,1,102.43,0,0,0,0,0,0,0,0,1,0,0
yashasvi-jaiswal,2021,18,22,17,1,5,0,129.41,0,0,0,0,0,0,0,0,1,0,0
riyan-parag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
david-miller,2021,18,24,23,0,3,0,104.34,0,0,0,0,0,0,0,0,1,0,0
jos-buttler,2021,18,5,7,1,1,0,71.42,0,0,0,0,0,0,0,0,0,1,0
chris-morris,0,0,0,0,0,0,0,0,4.0,0,23,4,5.75,18,0,3,0,1,0
rahul-tewatia,2021,18,5,8,1,0,0,62.5,3.0,0,24,0,8.0,4,1,1,0,0,0
chetan-sakariya,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,8,3,0,1,0,0
jayant-yadav,2021,17,0,0,0,0,0,0.0,4.0,0,20,0,5.0,16,2,1,0,0,0
hardik-pandya,2021,17,1,4,1,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0
suryakumar-yadav,2021,17,33,27,1,3,1,122.22,0,0,0,0,0,0,0,0,0,0,0
rahul-chahar,0,0,0,0,0,0,0,0,4.0,0,19,1,4.75,8,1,0,0,0,0
jasprit-bumrah,0,0,0,0,0,0,0,0,3.0,0,21,0,7.0,9,2,1,0,0,0
