,points
3066,81
1018,108
3000,23
2111,103
3382,5
702,64
2484,33
4865,13
1725,33
442,42
1463,60
3315,10
1892,21
4430,6
1887,51
338,17
2275,39
1921,32
3921,16
1081,0
1828,31
225,10
4449,22
104,20
1822,41
3390,51
530,54
3431,12
3746,-2
1519,33
2303,-2
2423,6
958,8
2698,19
2470,19
4467,100
4565,2
3348,25
3365,36
3588,55
4313,35
4000,15
856,-4
4953,85
515,39
3859,92
3210,-2
4359,25
4324,8
467,29
3207,56
4242,74
745,8
2827,60
3242,7
3362,120
476,-1
2635,74
2872,52
410,0
83,46
3708,97
284,14
3228,21
558,-2
4476,-2
798,42
3930,29
1979,70
1646,3
203,61
773,48
3405,16
3016,-6
4752,33
4894,7
3552,0
2700,91
3672,18
4029,6
693,16
4126,28
3750,12
251,-2
2459,26
1698,40
2341,128
297,146
167,7
2381,88
1766,36
2337,0
4067,101
4216,25
2358,33
2643,17
2406,9
4939,10
1600,8
4072,12
